ID,Class
1,1
2,0
3,0
4,1
5,2
6,2
7,3
8,1
9,3
10,3
11,1
12,2
13,0
14,0
15,0
16,1
17,2
18,3
19,3
20,2
21,2
22,3
23,3
24,2
25,0
26,0
27,2
28,0
29,3
30,1
31,3
32,2
33,0
34,2
35,3
36,0
37,0
38,0
39,3
40,2
41,0
42,3
43,2
44,0
45,3
46,1
47,2
48,1
49,2
50,0
51,0
52,1
53,3
54,2
55,3
56,0
57,2
58,3
59,3
60,1
61,3
62,0
63,3
64,2
65,2
66,0
67,2
68,2
69,3
70,0
71,3
72,2
73,2
74,2
75,0
76,0
77,1
78,1
79,2
80,2
81,2
82,2
83,2
84,0
85,3
86,3
87,1
88,3
89,0
90,2
91,0
92,2
93,1
94,3
95,2
96,2
97,2
98,2
99,0
100,1
101,0
102,0
103,3
104,1
105,3
106,3
107,0
108,1
109,0
110,0
111,2
112,0
113,2
114,1
115,2
116,2
117,1
118,2
119,1
120,2
121,0
122,2
123,1
124,0
125,1
126,0
127,3
