ID,Class
1,1
2,2
3,3
4,1
5,2
6,1
7,3
8,1
9,3
10,3
11,0
12,2
13,3
14,3
15,3
16,2
17,1
18,3
19,3
20,2
21,3
22,3
23,3
24,1
25,3
26,3
27,3
28,2
29,3
30,3
31,3
32,0
33,3
34,1
35,3
36,2
37,3
38,2
39,3
40,0
41,3
42,3
43,1
44,1
45,3
46,2
47,3
48,1
49,2
50,0
51,3
52,3
53,3
54,1
55,3
56,3
57,1
58,3
59,3
60,1
61,3
62,3
63,3
64,2
65,1
66,3
67,2
68,0
69,3
70,1
71,3
72,1
73,1
74,0
75,0
76,3
77,1
78,3
79,1
80,3
81,0
82,1
83,1
84,3
85,3
86,3
87,1
88,3
89,0
90,1
91,3
92,2
93,1
94,3
95,0
96,2
97,1
98,0
99,2
100,1
101,3
102,3
103,3
104,0
105,3
106,3
107,3
108,1
109,3
110,1
111,3
112,0
113,3
114,2
115,1
116,1
117,3
118,3
119,3
120,1
121,0
122,2
123,2
124,1
125,1
126,1
127,3
